,url,banned,comment
0,https://www.avito.ru/user/314879a3385c7d15892000c4a333918a/profile,0,
1,https://www.avito.ru/user/84c027972a3b9db7f1aa68423aaa74bf/profile,0,
2,https://www.avito.ru/user/770a8306d822c087f755480d767d25dd/profile,0,
3,https://www.avito.ru/user/09c0871dcfd16eb4d8e0f3841189e2b5/profile,0,
4,https://www.avito.ru/user/96ea38538e595135f3f15762829396a6/profile,0,
5,https://www.avito.ru/user/e1507eb4869c4bf4d68ab5c967f4fbfc/profile,0,
6,https://www.avito.ru/user/70d5cd45c3a2a676f4ac3ecd15638477/profile,0,
7,https://www.avito.ru/user/09a1c6c7aeb68e4545af1c1ad2915b1f/profile,0,
8,https://www.avito.ru/user/c3bbb18015d73262630f553f16cbb87c/profile,0,
9,https://www.avito.ru/user/8bb30c28ff49e66a3895b674851d0bc9/profile,0,
10,https://www.avito.ru/user/f35797e4fb17d3c731154105379e7a8e/profile,0,
11,https://www.avito.ru/user/d6d700f4749659a4cd45636e2c898da0/profile,0,
12,https://www.avito.ru/user/a6fb3d870a7f54f356be6d0f3de669ac/profile,0,
13,https://www.avito.ru/user/8f372217042e54b0a5594fb2eda97f34/profile,0,
14,https://www.avito.ru/user/2f45ac838bceb6f1d8170024edd76592/profile,0,
15,https://www.avito.ru/user/d47c4ee85784dc04155adf906bc10829/profile,0,
16,https://www.avito.ru/user/a8c444975da8dbe16742960318728312/profile,0,
17,https://www.avito.ru/user/e3091fe8e5e253dcb54f5e3f8a03ca07/profile,0,
18,https://www.avito.ru/user/b9728733227228c0558d25c769b8b3ba/profile,0,
19,https://www.avito.ru/user/9a4de4a1713d6a4fc0cd4b9115facb46/profile,0,
20,https://www.avito.ru/user/8141334b468487c5f0ad0f1a2e5299c8/profile,0,
21,https://www.avito.ru/user/4fd29b21982f383b77c6e7166aad4ecc/profile,0,
22,https://www.avito.ru/user/1918629c458832e80fb0e6e5cb6861c7/profile,0,
23,https://www.avito.ru/user/878fc378c843e113875f58126f20f245/profile,0,
24,https://www.avito.ru/user/e478badef9c2f58996b9a0496680a0b1/profile,0,
25,https://www.avito.ru/user/afb07dbca6486f0ce25e5c99d3096229/profile,0,
26,https://www.avito.ru/user/563359d453e48aa8f8443e68c311856c/profile,0,
27,https://www.avito.ru/user/d3d2e32c115d1f38cdf6ca13160b071f/profile,0,
28,https://www.avito.ru/user/fdba4f50f52241a5292c7ca2748c98b3/profile,0,
29,https://www.avito.ru/user/373c739e8b4848f8247c202ab845387f/profile,0,
30,https://www.avito.ru/user/e3f208ce7392737c3da947d950b186aa/profile,0,
31,https://www.avito.ru/user/6b15322731a8e84cbe1965abef227222/profile,0,
32,https://www.avito.ru/user/afc199a4e92e9f48b3a85216451c9a64/profile,0,
33,https://www.avito.ru/user/126cba513897f52df9d1ed9bbbfa8ab7/profile,0,
34,https://www.avito.ru/user/ebdbe61fbcfe20a126e84450db8d526b/profile,0,
35,https://www.avito.ru/user/51eada948d4112f2a10b8209b5c94036/profile,0,
36,https://www.avito.ru/user/434d5d9a738efdfc1119e09eab140e8b/profile,0,
37,https://www.avito.ru/user/d2dd82a3b1a05d2b290a1ac95dcd1d2c/profile,0,
38,https://www.avito.ru/user/3f23a97f538b23c532176135b5016b66/profile,0,
39,https://www.avito.ru/user/60ba785f10dfe37bbeaa82ae177dddc6/profile,0,
40,https://www.avito.ru/user/a58a70112c018b21097acb56f07f05d4/profile,0,
41,https://www.avito.ru/user/a39c61b00ae98e457b0b8b3ddc2ad03e/profile,0,
42,https://www.avito.ru/user/7adf56d8e39ff5b184ae0afe1d6c9fe7/profile,0,
43,https://www.avito.ru/user/1e764300e3a35a6aaaf8534866549063/profile,0,
