,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,ирина,частное лицо,734777,Отвечает за несколько часов,734728,6,63,0.109375,50,2000,700.0,11,9000,1107.7936507936508
1,андрей бабкин,частное лицо,735964,,736145,16,23,0.7083333333333334,100,4000,668.75,100,7000,954.3478260869565
2,полина,частное лицо,736146,Отвечает за несколько часов,736517,77,98,0.7878787878787878,30,48000,2586.246753246753,0,400000,5507.7040816326535
3,наталья,частное лицо,734411,Отвечает за несколько часов,736626,24,10,2.272727272727273,200,6000,1216.6666666666667,150,6000,1745.0
4,разбираю шкафы,компания,735446,Отвечает около 30 минут,736919,74,29,2.5,350,5000,1762.837837837838,300,3700,1389.655172413793
5,мадина,частное лицо,736389,"Редко отвечает на сообщения, рекомендуем звонить",736994,16,1,8.5,399,65000,7437.4375,5000,5000,5000.0
6,я,компания,735324,"Редко отвечает на сообщения, рекомендуем звонить",735331,36,114,0.3217391304347826,100,3500,611.6666666666666,100,60000,1290.7894736842106
7,елена,частное лицо,734169,,734525,1,5,0.3333333333333333,6200,6200,6200.0,0,11000,4548.0
8,streetkross_omsk,компания,736634,Отвечает около 30 минут,736764,299,112,2.6548672566371683,40,3500,1592.267558528428,100,13000,1686.482142857143
9,оксана,частное лицо,736664,"Редко отвечает на сообщения, рекомендуем звонить",736692,3,15,0.25,50,2500,1116.6666666666667,0,6000,1952.3333333333333
