,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,yulia,частное лицо,735964,Отвечает за несколько часов,735981,14,26,0.5555555555555556,300,10000,2135.714285714286,500,30000,2738.4615384615386
1,марина,частное лицо,734747,Отвечает в течение дня,736933,11,1,6.0,0,500,178.1818181818182,400,400,400.0
2,кристина,компания,734046,,734815,3,20,0.19047619047619047,650,650,650.0,0,21775,6321.2
3,светлана,компания,735324,Отвечает за несколько часов,736634,54,29,1.8333333333333333,50,40000,1644.6296296296296,100,2000,506.8965517241379
4,гузель,частное лицо,734563,,735717,3,3,1.0,700,1000,800.0,300,13000,4933.333333333333
5,олеся,компания,735081,"Редко отвечает на сообщения, рекомендуем звонить",735091,8,53,0.16666666666666666,300,2500,875.0,0,2000000,283831.11320754717
6,александр,частное лицо,734411,Отвечает за несколько часов,,9,0,10.0,5000,40000,15222.222222222223,,,
7,юлия,частное лицо,736085,,736642,3,15,0.25,800,1600,1100.0,0,800,406.6666666666667
8,татьяна,частное лицо,733804,,733797,38,34,1.1142857142857143,200,7000,964.4736842105264,100,3000,613.2352941176471
9,олеся,компания,735081,"Редко отвечает на сообщения, рекомендуем звонить",735091,8,53,0.16666666666666666,300,2500,875.0,0,2000000,283831.11320754717
10,ольга,частное лицо,735354,Отвечает в течение дня,736807,22,3,5.75,150,480000,22797.727272727272,9,450,219.66666666666666
