,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,татьяна,частное лицо,734563,"Редко отвечает на сообщения, рекомендуем звонить",736906,11,2,4.0,50,2000,713.6363636363636,0,6000,3000.0
1,елена,частное лицо,736055,Отвечает за несколько часов,737008,1,1,1.0,2000,2000,2000.0,18000,18000,18000.0
2,"елена ,",частное лицо,733773,Отвечает за несколько часов,734408,30,107,0.28703703703703703,350,4000,1283.3333333333333,250,7500,1282.7102803738317
3,екатерина,частное лицо,735538,,735548,6,41,0.16666666666666666,1000,16000,4833.333333333333,300,25000,3159.756097560976
4,антон сергеевич пушкин,частное лицо,736177,,736205,21,23,0.9166666666666666,600,12000,2690.4761904761904,2000,20000,6200.0
5,частное лицо,частное лицо,735050,,736692,29,3,7.5,100,25000,2711.9655172413795,499,5400,3763.0
6,света,частное лицо,736330,,736361,13,24,0.56,150,2500,723.0769230769231,60,2500,498.3333333333333
7,юлия,частное лицо,736938,Отвечает около часа,736963,10,4,2.2,0,5000,1630.0,800,6000,3325.0
8,валерия,частное лицо,736177,Отвечает в течение дня,736326,10,17,0.6111111111111112,1700,8000,4569.0,500,3050000,198023.5294117647
9,кристина,частное лицо,733832,Отвечает в течение дня,736615,32,8,3.6666666666666665,50,25000,2694.375,0,10000,1862.5
