,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,данил тарасов,частное лицо,736450,,,4,0,5.0,100,1200,525.0,,,
1,елена,частное лицо,733804,,736881,1,2,0.6666666666666666,7000,7000,7000.0,18000,20000,19000.0
2,//,компания,734442,Отвечает за несколько часов,736866,75,4,15.2,0,25000,1834.9333333333334,300,2500,1387.5
3,татьяна,частное лицо,735599,,735711,3,1,2.0,300,35000,12266.666666666666,250000,250000,250000.0
4,юлия,частное лицо,735293,Отвечает в течение дня,735704,31,8,3.5555555555555554,200,4500,1012.9032258064516,0,1000,400.0
5,наталья,частное лицо,736754,Отвечает за несколько часов,736882,24,5,4.166666666666667,150,9000,1227.0833333333333,150,5000,1590.0
6,карина,частное лицо,734289,Отвечает за несколько часов,734974,1,10,0.18181818181818182,6500000,6500000,6500000.0,500,3000000,363699.9
7,"елена ,",частное лицо,733773,Отвечает за несколько часов,734408,30,107,0.28703703703703703,350,4000,1283.3333333333333,250,7500,1282.7102803738317
8,galinka,компания,736055,Отвечает в течение дня,736064,40,37,1.0789473684210527,0,5500,760.75,0,5500,1455.945945945946
9,мебельный салон,компания,736634,Отвечает в течение дня,736913,23,7,3.0,500,2000000,89408.69565217392,1000,30000,8357.142857142857
