,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,екатерина,частное лицо,735446,Отвечает около часа,736861,53,3,13.5,1,3500,508.6981132075472,300,15000,7600.0
1,мария,частное лицо,734228,Отвечает около часа,,42,0,43.0,0,700,196.42857142857142,,,
2,анастасия,частное лицо,736177,"Редко отвечает на сообщения, рекомендуем звонить",736179,19,26,0.7407407407407407,0,2000,486.8421052631579,100,2150000,84162.69230769231
3,ева,частное лицо,736815,Отвечает за несколько часов,736851,8,14,0.6,1000,5200,1975.0,1000,67000,11557.142857142857
4,анастасия,частное лицо,736055,,,25,0,26.0,100,7000,1290.0,,,
5,татьяна,частное лицо,736695,Отвечает в течение дня,736877,5,7,0.75,500,2500,920.0,0,8000,1400.0
6,олеся,частное лицо,734928,Отвечает за несколько часов,734931,28,36,0.7837837837837838,300,3000,860.7142857142857,0,1400000,69607.5
7,анна,частное лицо,736695,Отвечает в течение дня,736732,12,32,0.3939393939393939,300,25000,3720.8333333333335,250,17000,2521.875
8,ольга,частное лицо,736938,"Редко отвечает на сообщения, рекомендуем звонить",737000,13,1,7.0,100,6000,1134.6153846153845,500,500,500.0
9,ольга,частное лицо,734685,,,6,0,7.0,500,9000,3250.0,,,
