,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,елена,частное лицо,734594,"Редко отвечает на сообщения, рекомендуем звонить",736434,4,5,0.8333333333333334,4000,60000,19750.0,150,16000,7230.0
1,ольга,компания,735903,Отвечает в течение дня,736189,45,13,3.2857142857142856,250,2950,873.3333333333334,70,2200,948.8461538461538
2,надежда,частное лицо,734077,"Редко отвечает на сообщения, рекомендуем звонить",736474,7,7,1.0,12,18000,3263.4285714285716,50,1700,957.1428571428571
3,екатерина,частное лицо,736238,"Редко отвечает на сообщения, рекомендуем звонить",,7,0,8.0,75,1000,360.7142857142857,,,
4,валентина,частное лицо,735354,Отвечает в течение дня,736359,26,7,3.375,50,300,120.76923076923077,50,5000,1250.0
5,лолита,частное лицо,734869,,736948,5,4,1.2,500,3000,1739.8,1500,15000,7275.0
6,разбираю шкафы,компания,735446,Отвечает около 30 минут,736153,74,29,2.5,350,5000,1816.8918918918919,300,3700,1389.655172413793
7,елена,частное лицо,735142,Отвечает за несколько часов,736549,12,44,0.28888888888888886,0,1800,616.6666666666666,0,500000,12116.15909090909
8,руслан,частное лицо,734107,Отвечает в течение дня,736528,26,116,0.23076923076923078,700,12000,4265.384615384615,799,42000,4005.198275862069
9,екатерина,частное лицо,734350,"Редко отвечает на сообщения, рекомендуем звонить",735664,47,53,0.8888888888888888,0,2600000,56448.51063829787,0,2700000,59938.67924528302
