,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,леггинсы,компания,736085,,736610,11,33,0.35294117647058826,900,1800,1172.7272727272727,350,4500,1336.969696969697
1,elite,частное лицо,734442,Отвечает за несколько часов,734457,7,162,0.049079754601226995,0,3500,1150.0,0,15000,1655.2777777777778
2,ольга,компания,734077,Отвечает в течение дня,736671,30,20,1.4761904761904763,200,1500,551.6666666666666,200,17000,1217.5
3,татьяна,частное лицо,733804,,733797,38,34,1.1142857142857143,200,7000,964.4736842105264,100,3000,613.2352941176471
4,анастасия,частное лицо,734138,,736950,5,1,3.0,400,350000,78400.0,100,100,100.0
5,анастасия,частное лицо,734442,,734454,4,30,0.16129032258064516,400,13000,3625.0,0,14000,2275.0333333333333
6,светлана,компания,735324,Отвечает за несколько часов,736634,54,29,1.8333333333333333,50,40000,1644.6296296296296,100,2000,506.8965517241379
7,альбина,компания,735630,Отвечает около часа,736880,19,4,4.0,30,6490000,624642.6315789474,2500,700000,185125.0
8,дарья беляева,частное лицо,736999,Отвечает за несколько часов,,1,0,2.0,2750,2750,2750.0,,,
9,мария,частное лицо,736361,Отвечает за несколько часов,736830,3,4,0.8,500,80000,27166.666666666668,0,1500,675.0
