,name,person_status,start_date,answer_time,first_sold_time,n_active,n_finished,active_finished_ratio,min_active_cost,max_active_cost,mean_active_cost,min_finished_cost,max_finished_cost,mean_finished_cost
0,оксана,частное лицо,736450,,736450,2,2,1.0,1800,3000,2400.0,700,10000,5350.0
1,олеся,частное лицо,736146,,736650,15,13,1.1428571428571428,12,4000,1117.4666666666667,12,1000,498.2307692307692
2,ольга,частное лицо,734808,Отвечает за несколько часов,736684,12,8,1.4444444444444444,200,1500,700.0,300,10000,2512.5
3,анна,частное лицо,736695,Отвечает в течение дня,736732,12,32,0.3939393939393939,300,25000,3720.8333333333335,250,17000,2521.875
4,ольга,частное лицо,735477,,736863,5,1,3.0,200,300,240.0,2500000,2500000,2500000.0
5,ксения,компания,734716,Отвечает в течение дня,736480,36,42,0.8604651162790697,200,3500,716.6666666666666,250,25000,1653.5714285714287
6,ирина мельниченко,частное лицо,736815,,,3,0,4.0,500,5000,2000.0,,,
7,частное лицо,компания,734381,Отвечает за несколько часов,735619,40,84,0.4823529411764706,300,300000,9315.0,0,45000,2533.1428571428573
8,антон сергеевич пушкин,частное лицо,736177,,736205,16,23,0.7083333333333334,600,3200,2400.0,2000,20000,6200.0
9,анастасия,частное лицо,734197,Отвечает около часа,736993,52,1,26.5,100,10000,1200.9615384615386,2500,2500,2500.0
